,TCGA-A7-A13D-01A-13R-A12P-07,TCGA-E9-A1RH-11A-34R-A169-07
NEXN,531,2384
DNAJB4,1102,2499
ADGRL4,1325,7313
LRRIQ3,51,257
TYW3,880,1686
LHX8,44,4
SNX7,1835,1006
B3GALT2,2,19
NTNG1,11,105
HENMT1,1479,472
AKNAD1,5,25
C1orf52,924,798
GBP2,2896,8836
ATXN7L2,457,125
GBP4,595,3799
ZNF326,1329,1606
HFM1,19,34
BRINP3,3,9
GFI1,18,47
KCNT2,111,150
AGL,1794,4360
VCAM1,1255,2434
EXTL2,634,1282
SLC30A7,2411,1798
ARPC5,10721,6888
CADM3,9,576
NLRP3,73,177
ZNF496,3629,1365
TRIM58,2,94
SLAMF9,88,1
OR2M5,0,0
KCNJ9,9,1
IGSF8,5942,1768
DDR2,1872,42038
PEA15,26947,18872
PEX19,3255,14098
NCSTN,14948,9070
VANGL2,5671,465
SLAMF6,13,106
OLFML2B,2512,2636
FCRLB,74,29
FCGR3B,73,55
SLC9C2,8,7
KLHDC9,113,139
C1orf74,264,139
LMX1A,0,127
LRRC52,0,1
FLVCR1,878,286
ATF3,1129,394
RBM15,906,485
DENND2D,1275,2179
AXDND1,4,5
TDRD5,522,75
IER5,1101,1169
SNED1,688,3245
BPNT1,2051,1396
SPATA17,39,53
C1orf115,674,10637
BROX,3028,3310
NBPF20,153,107
ACP6,846,752
WDR64,3,4
KIF26B,2081,112
TFB2M,2146,852
CNST,2171,1745
PPP1R21,1842,1951
KLHDC8A,252,6
PM20D1,2,79
PKDCC,297,2161
OXER1,19,69
HAAO,102,446
B3GALNT2,2149,915
MAPKAPK2,8195,5295
IL20,9,22
IL24,3,1
PIGR,24,4246
FCAMR,6,1
CAPN2,14214,18111
MRPL55,1755,967
WDR26,5786,7748
PUS10,797,531
PEX13,3597,1534
TRIM17,365,30
RFTN2,157,1114
DISC1,2736,460
CAPN13,462,156
LRRTM1,0,3
MEMO1,117,94
DPY30,1824,1148
TYW5,533,463
KCNF1,171,9
ARL5A,1940,2318
KCNJ3,0,63
NEUROD1,0,0
CLHC1,207,113
FRZB,609,567
DUSP19,56,287
CFAP36,1534,1646
NUP35,926,475
CCDC138,665,101
ZSWIM2,0,6
FBXO41,1619,207
SMC6,2654,1640
VSNL1,139,167
CCDC74A,301,138
SLC16A14,182,589
TEKT4,2,11
EN1,318,213
SGCB,2083,7584
SPATA18,180,1117
NOSTRIN,292,2473
CFAP221,56,33
CCDC140,1,3
SGPP2,614,89
INHBB,1791,3221
XIRP2,0,1
BBS5,164,227
BIRC8,0,0
SMARCAD1,1478,2037
HPGDS,8,280
PDLIM5,7269,7592
PDHA2,0,0
STPG2,2,1
NEURL3,70,39
RPRD2,6021,4780
ANKRD23,40,26
CTSS,5648,4766
MSX1,120,965
PACRGL,515,588
BNIPL,124,161
C1QTNF7,8,2662
TNFAIP8L2,30,172
LYSMD1,1028,623
SCNM1,2971,924
TMOD4,14,32
VPS72,5175,1653
ERCC3,3413,2651
RNF149,4278,1977
IWS1,4667,2426
BOLA3,441,180
CDC42EP3,4260,2377
S100A11,89123,10535
SMCP,3,0
IVL,86,1
SPRR3,11,0
DHX57,2197,1571
BMP10,0,1
PGLYRP4,34,1
ARHGAP25,266,831
S100A9,29323,903
S100A12,2,13
TGFA,2120,224
TDRD10,6,187
CCNYL1,1004,1120
FZD5,452,1762
CRYGC,0,0
NPPC,25,5
GNPDA2,574,1399
ALPP,6,0
GABRG1,0,19
GABRB1,0,1
PAQR3,705,792
NIPAL1,243,100
ALPI,0,0
ANTXR2,1730,15078
HELQ,274,798
MRPS18C,219,256
CGGBP1,4606,7502
GPR155,270,1114
DAPL1,13,11
PMVK,4541,1588
PBXIP1,13557,9849
CLDN1,5105,221
PYGO2,5682,2628
HIPK1,4295,6564
LENEP,2,0
DCST2,134,50
DCST1,73,14
COL6A3,82437,109607
YY1AP1,3696,2056
KBTBD8,85,68
EOGT,1212,2706
LMOD3,19,45
POGLUT1,553,869
CCKAR,1,9
IGFN1,2,27
ATP1A1,16600,7181
SLC15A2,864,152
EIF4E3,736,5888
PROK2,3,6
LRRC58,3912,4465
FSTL1,17181,78289
LMOD1,1305,4805
ELF3,12345,717
PDCL2,0,0
TMEM183A,2443,1679
TMEM169,55,174
IGFBP7,13662,10413
TRIM46,640,25
KRTCAP2,321,96
CXCR1,7,44
ARPC2,15369,11048
TSACC,187,6
CCT3,70204,8443
TMEM79,2440,278
SSR2,32193,6025
RNF25,812,676
STK36,637,940
ADORA1,722,840
NEK10,30,406
CCDC141,0,141
FEV,0,0
CRYBA2,4,0
EOMES,44,47
CWC22,1921,1944
AZI2,605,1832
TGFBR2,3025,45501
RETNLB,0,0
ANKZF1,3867,1142
HDAC11,1556,1071
FCRL4,17,0
TRAT1,2,25
FBLN2,6807,55763
GLB1L,927,828
STT3B,8429,10115
CHCHD4,473,792
DPPA2,461,0
NFASC,1576,1965
FCRL1,0,4
SERPINI1,287,877
CLASP2,1964,3682
SUCLG1,4076,10438
NUAK2,434,100
SPTA1,20,22
PRKCI,4186,1525
MNDA,259,278
PYHIN1,32,131
IFI16,8125,6271
AIM2,78,37
EFHB,20,36
EIF5A2,479,627
SLC2A2,0,0
RPL22L1,1710,713
FABP1,0,1
PPM1L,1157,3352
ICA1L,33,455
CTLA4,5,29
ICOS,0,12
RYBP,4273,3259
PPP4R2,3236,3745
CD200R1,14,268
SPICE1,102,70
CADPS,66,6
CDS1,1653,541
WDFY3,2459,5061
COX18,492,1276
PTPN13,1019,4114
SYNPR,8,0
ALB,14,305
C4orf36,2,2
THOC7,2311,2481
ATXN7,1657,1848
PSMD6,2464,3147
PRICKLE2,441,3902
ADAMTS9,2212,1901
PPM1K,489,1323
ERICH6,5,2
CLRN1,0,0
GMPS,7667,3384
TIPARP,1410,1673
CCNL1,2935,2909
PTX3,260,173
HESX1,38,52
DCLK3,78,27
SLMAP,3239,4266
RPL9,11542,41637
SMIM14,3109,8322
RPP14,222,482
ABHD6,213,1581
DNASE1L3,5,283
RBM47,3561,1925
APBB2,3050,10060
IL17RE,2580,889
IL17RC,2518,1267
PRRT3,173,134
FANCD2OS,8,0
PCOLCE2,315,18678
U2SURP,6660,5587
MTMR14,2304,1965
TTC14,972,2088
CXCL3,13,12
CXCL5,56,18
PPBP,4,6
MTHFD2L,424,405
RCHY1,740,1329
PLSCR2,14,6
CCDC158,32,317
CPA3,69,2044
HPS3,1567,1008
TM4SF18,4407,2492
TOPBP1,4373,1791
RYK,6144,4346
SNRK,1366,3977
TCF23,1,24
DNAJC5G,0,2
UCN,8,22
ZNF513,711,257
SLC4A1AP,2487,1573
PLB1,62,225
SPDYA,23,14
KIAA1143,1030,2751
KIF15,1119,83
TGM4,1,1
WDR43,5058,2431
ZDHHC3,3389,5845
CDCP1,6450,527
CLEC3B,25,3831
SLC6A20,34,96
LZTFL1,747,1646
FYCO1,1742,9104
RTP3,0,0
LRRC2,5,505
ELP6,845,979
FBXO40,0,14
ZNF148,3927,3877
NMNAT3,200,642
SMIM12,2455,1525
ZMYM6,511,676
TPRA1,2837,1589
YEATS2,3950,1862
GRIK3,68,185
ZC3H12A,363,257
MEAF6,3619,3143
SNIP1,1148,1110
DNALI1,71,706
POLR2H,2093,983
CAMK2N2,21,6
LIPH,882,112
TMEM41A,2967,1314
RPN1,38358,11681
SENP2,1963,2790
HEYL,1539,639
IFT122,2211,2140
RHO,1,0
RFC4,1632,445
RPL39L,2338,275
BAP1,4108,4021
TKT,80704,24191
PRKCD,11827,7266
RFT1,2151,826
SFMBT1,596,679
GNL3,6200,2736
PBRM1,3263,5921
UVSSA,668,1263
SLBP,2465,1925
ZDHHC19,4,5
SLC51A,132,259
UBXN7,3759,4127
RNF168,1022,1490
PIGX,1119,1624
S100P,2437,18
ABLIM2,539,264
EXO5,384,121
CLDN19,1,160
C1orf50,75,262
ERMAP,606,1166
ZNF691,634,526
AIMP1,2419,2860
SGMS2,1101,1343
METAP1,3136,2012
DNAJB14,1167,3214
EMCN,471,4363
SLC9B1,16,43
BDH2,408,1458
PGRMC2,4658,11414
CDC25A,1757,46
CAMP,7,0
ZNF589,1081,842
FBXW12,23,2
PLXNB1,6967,2917
CCDC51,1645,669
ATRIP,1218,497
SHISA5,9357,6493
SPRY1,1215,5664
BSN,28,94
APEH,5000,3251
INTU,542,1310
RNF123,1148,1242
HSPA4L,298,660
MFSD8,454,968
CAMKV,43,1
MON1A,530,490
MST1R,843,192
RAD54L2,3487,2143
TEX264,1935,2188
GRM2,36,4
DUSP7,2042,1608
PPM1M,719,1854
ETNPPL,0,10
WDR82,9286,9255
PITX2,99,93
C4orf3,11539,11886
PRSS12,658,118
NDST3,15,0
HMGB2,8964,3095
SAP30,1123,225
SCRG1,349,32
HAND2,26,160
MAD2L1,2072,154
ANXA5,18799,37565
ADAD1,0,0
MAP9,775,836
FBXO8,698,1712
CEP44,628,749
HPGD,40,739
ASB5,1,0
C4orf45,0,4
TMEM144,946,1116
NPY1R,438,2653
NPY5R,31,325
NAA15,3944,2230
IL15,74,207
ARFIP1,1711,2524
ICE1,6867,3462
HHIP,3,121
ANAPC10,112,184
ABCE1,4134,2789
OTUD4,2267,3070
LSM6,615,996
TMEM184C,1148,2279
PRMT9,383,778
ITGA2,3413,1794
MOCS2,831,2861
SLC45A2,21,0
EDIL3,3925,1193
TMEM161B,363,598
ELOVL7,298,981
NDUFAF2,507,973
ZNF474,22,8
LMBRD2,1208,2129
RANBP3L,133,178
NIPBL,8015,5894
RNF180,120,954
ADGRV1,75,219
SLC25A46,1602,4814
STARD4,474,208
PGGT1B,671,1916
F2RL2,51,151
CCDC112,554,477
CMBL,953,3868
C5orf63,173,235
PRRC1,4760,3981
F2RL1,229,144
AGGF1,410,929
PRDM9,2,0
NDUFS4,1037,3118
SPINK1,513,0
HTR4,0,9
ESM1,4424,51
GRPEL2,1353,1100
CDC20B,2,16
ARSK,263,503
RHOBTB3,2255,10413
GPX8,2959,2352
TIGD6,247,444
SPZ1,0,0
SERINC5,3186,2366
ENPP6,318,64
CAGE1,2,2
CASP3,3030,1116
PRIMPOL,258,569
ERAP1,2600,7845
ERAP2,838,3839
CMYA5,829,1172
EGFLAM,491,3501
CFAP97,3310,3863
TMEM174,0,0
CARTPT,0,0
RICTOR,1871,2434
EBF1,430,12787
ANKRA2,155,576
UBLCP1,1285,1878
FAM170A,2,0
UTP15,582,805
TLR3,323,1905
KLKB1,12,30
NSA2,2666,5692
GFM2,610,1116
TERT,7,3
SLC6A18,0,0
CCDC127,2251,1697
FOXQ1,715,18
ADGRF2,18,1
ACSL6,900,14
IL3,0,0
CSF2,2,0
SEPTIN8,4072,3134
SHROOM1,296,704
GDF9,17,44
GJB7,13,1
SLC35A1,456,631
GRIK2,45,34
FABP7,36,474
TLX3,7,0
TXLNB,58,231
CITED2,2740,7343
CREBRF,718,3990
DCBLD1,1207,701
SFXN1,2234,1275
SAMD3,3,45
TMEM200A,960,309
IL22RA2,73,21
DACT2,15,157
PDSS2,608,1288
STXBP5,1181,2064
IL31RA,4,15
ANKRD55,0,14
PI16,2,17779
TBX20,2,1
DAGLB,1677,693
STK17A,1491,1257
TRA2A,3231,3030
SAP30L,1364,5102
HCN1,24,73
MYOZ3,36,40
COG5,4059,2668
NEUROD6,0,0
GPR85,160,88
SLU7,2597,4115
RP9,901,326
PTTG1,3181,74
CAMLG,1165,3006
BMPER,29,952
RELL2,110,15
KCNK5,2107,238
KIF6,41,75
ZNF12,2437,1817
SLC29A4,1888,6204
STEAP1,191,1753
CDCA7L,1096,454
SP8,0,1
MIOS,1542,1599
USP49,300,466
SYTL3,225,491
IQUB,8,23
HEY1,564,797
ZNF704,4548,7483
FABP5,2127,1515
SHH,2,1
COL1A2,262031,163751
FNDC1,4877,4378
CHMP4C,2229,209
SLC13A4,36,76
PGAM2,0,0
LMTK2,2551,1460
CTSB,43903,42855
SOX17,92,371
DLC1,1959,10916
ADCY1,765,583
C8orf48,60,83
SUN3,12,1
C7orf57,11,2
HNF4G,242,17
PEX2,2517,2850
RAD21,28334,12552
SLC30A8,4,4
MED30,919,318
TNFRSF11B,817,174
SBSPON,88,456
PHKG1,155,386
EN2,40,25
KCNV1,3,0
CSMD3,0,6
SPIDR,3336,2288
ORC5,1740,876
DEFA5,0,0
DNAAF5,3753,1136
DEFA4,0,0
DEFA6,0,0
OSGIN2,2582,5338
DEFB1,191,141
SUN1,8597,9803
OXR1,3880,6126
TMEM74,111,73
GPR146,70,479
GPER1,217,1271
UNCX,0,0
TMEM184A,1735,105
NOS3,322,856
SPAG11B,0,0
MICALL2,1892,270
INTS1,16006,5070
CDK5,1171,320
SLC4A2,7432,2060
SLC7A13,1,0
FASTK,4823,2183
TMUB1,2288,686
GBX1,0,0
PHAX,2443,2604
ALDH7A1,9520,4736
FOXK1,7915,2850
COX6C,6809,3473
YWHAZ,103680,40815
FZD6,5172,1794
CTHRC1,5560,1072
SLC25A32,14,5
DCAF13,8277,1233
DCSTAMP,22,5
TP53INP1,1543,3428
INTS8,4208,1411
FREM1,40,2298
GEM,812,2375
PDP1,2645,1648
TMEM67,432,499
RPP25L,1225,781
FAM219A,2194,975
C9orf24,6,81
SNAPC3,1391,1993
NUDT2,1170,1047
TMEM65,4778,1146
PSIP1,2069,4530
CCDC171,102,207
UBAP1,3371,4565
DIRAS2,11,15
SYK,1050,1190
NIPSNAP3B,99,3345
ABCA1,1708,12784
NFIL3,3153,1860
LETM2,26,90
METTL2B,1379,1222
PRKACG,0,0
FXN,346,340
ZMAT4,36,1
NKX6-3,0,0
TMEM71,114,118
MAMDC2,177,3377
PRSS37,1,7
CPA6,1,8
C8orf34,12,141
TMC1,30,27
ALDH1A1,55,12054
KDM1B,2228,1073
HGSNAT,3893,8728
RASEF,814,653
GKAP1,85,830
KIF27,157,293
C9orf64,428,1109
HNRNPK,28498,25358
SSMEM1,3,8
SVEP1,666,39006
TRPV6,1641,116
ANKS6,2155,1200
FBP1,89,637
ZHX1,2924,5827
CFAP47,35,10
CYBB,600,5719
DYNLT3,2402,2276
MID1IP1,1678,2135
CXorf58,5,6
KIAA1958,477,626
PTCHD1,1257,195
RNF183,2,13
ASB11,1,7
PCDH19,77,1108
PIGA,1323,429
OR1Q1,2,0
OR1K1,0,0
STRBP,2551,1024
CLDN3,14953,243
GAPVD1,2719,4015
WNK2,4113,638
ATP7A,1636,1409
ZNF367,310,163
NLGN4Y,0,2
HDX,328,261
NDUFB6,1297,1669
AQP7,4,17683
NOL6,4001,1844
AQP3,712,722
TRMT10B,214,519
VCP,37013,19793
PIGO,3116,1549
STOML2,9201,3707
BRWD3,2276,1032
SLITRK5,54,28
MELK,4354,53
ARMC3,147,0
ARHGAP12,3004,3362
FAT3,23,219
HECTD2,324,815
SLC7A3,1,16
FBXO33,567,1030
GPR101,0,1
CLDN2,18,185
LRFN5,2,166
LRRC18,1,7
SPTSSA,3573,2399
WRN,621,1213
MARCHF8,2164,3889
TSHR,2,56
CFL2,1457,6283
SUGT1,2269,3054
GTF2A1,1741,3691
ZCCHC24,601,9152
PGM2L1,1549,610
PHYHIPL,59,14
SLC16A9,35,165
FOLR2,28,4070
INPPL1,5090,3844
PHOX2A,0,1
MBL2,1,0
GJB2,2585,58
CRYL1,775,2283
REEP3,5123,5957
HEPACAM,0,1205
SKA3,776,34
MICU2,1393,2065
DDIAS,741,61
PCF11,2053,2865
PKNOX2,38,136
RPL10L,0,0
LRR1,486,461
RPL36AL,4021,9934
DNAAF2,674,365
MAGEC3,4,2
ZNF22,1630,1625
KLHDC2,1149,2153
EML5,21,47
NEMF,1588,2181
RPUSD4,1605,1735
TMEM63C,900,120
NGB,0,0
NOXRED1,39,17
CDX2,6,4
AMER2,0,0
AKR1E2,233,110
KBTBD6,1332,1300
SSX5,0,1
SSX3,0,0
OTX2,16,0
FAAH2,670,107
DRGX,1,0
NUDT5,5132,2425
DACT1,1720,466
UCMA,1,0
BEND7,788,948
PRPF18,399,302
VSTM4,663,5987
VDAC2,2784,4486
SOHLH1,2,3
COMTD1,278,113
PDZD8,2346,2987
ZNF503,457,1393
QSOX2,1752,478
FAM204A,1412,2401
NSD1,9124,5705
PRDX3,5774,13459
ENOX2,1177,956
GHITM,6687,14024
CLEC1B,11,1
SNAPC4,1162,523
TMEM52B,45,12
PMPCA,2832,2363
FRMD7,0,36
AK8,30,89
HPRT1,2684,722
ZMYND19,1338,396
STOX1,55,1949
RET,133,619
DDX21,14411,4661
BMS1,7435,2981
STK32C,1396,354
OR4K2,0,0
FUNDC2,3096,4352
METTL17,679,793
SLC39A2,14,12
NDRG2,6016,11113
RNASE7,5,88
ARHGEF40,1503,7401
NSMF,3610,1293
ZNF219,501,1566
C12orf50,0,0
CASP7,1678,1129
PPP1R36,61,134
BTNL9,25,10954
CCDC186,2668,1769
VWA2,512,282
METTL3,1151,1320
SALL2,428,628
PRAP1,6,2
TRUB1,1371,1260
ERICH6B,3,6
CYP2C19,0,8
ZFYVE1,1372,2484
C10orf82,0,34
HSPA12A,1088,5963
UBTD1,1411,1097
ANKRD2,53,11
E2F7,249,17
ARHGAP42,850,1836
ISCA2,402,690
OTOGL,6,16
PACSIN3,2868,473
TTC7B,849,2726
SLC39A13,2376,1735
PSMC3,6361,4416
RAPSN,1,3
AGBL2,30,23
TC2N,1379,3536
CPSF2,2841,3457
SMCO2,51,5
MOAP1,1047,2294
IFI27L1,275,460
IFI27,15232,6792
SERPINA12,20,5
CLMN,3687,5126
PDZRN4,9,393
SLC6A5,0,0
CCDC38,2,7
NELL1,4,4
PTER,1925,1482
C1QL3,34,0
CACNB2,114,244
HACD1,569,229
ARL5B,3369,1710
SMCO4,1109,346
CEP295,488,545
TAF1D,1892,1953
ABTB2,1703,242
R3HCC1L,1024,854
AMOTL1,3805,7360
HTRA1,11866,26086
LIPC,6,144
CEP57,858,1946
TCP11L2,214,1030
PASD1,0,0
SPRED1,2122,3410
TMCO5A,1,0
GPR176,1077,860
JAM3,527,1525
CMTM5,1,13
GLB1L3,4,96
ADAMTS15,1398,1488
SVOP,21,5
SPATA19,0,0
GPT2,4755,11005
AMN,6,9
RAB8B,1240,3188
IKBIP,939,1072
RPUSD2,510,383
HIF1AN,2182,4053
NDUFB8,149,185
ZFYVE19,1768,965
PPP1R14D,11,5
SPINT1,28907,1330
FBN1,17836,66901
AVPR1A,455,1609
C16orf78,0,0
DEPDC4,14,33
BRD7,2742,3448
CKB,148,4237
TRMT61A,1195,490
BTRC,903,1509
POLL,828,1257
BAG5,2468,3875
DPCD,1040,385
LARP6,1269,3770
API5,3913,5272
ASPG,1,15
ZNF319,572,634
HPS6,1005,854
SENP8,63,171
NOLC1,8753,3548
COPS2,3626,8235
GABRB3,3,153
SPIC,0,0
TBATA,0,32
SGPL1,4276,4117
FRS2,1378,3016
CCT2,7549,4650
PCBD1,2530,3716
ARIH1,4159,6067
CLMP,1209,18459
SCN3B,21,249
COX11,793,1721
ZNF202,652,525
FAM227B,88,110
STXBP4,380,664
CYYR1,3153,4077
CUL5,1387,2749
MYRFL,25,2
WBP1L,2492,7584
C2,140,631
PLEKHF1,1753,968
TMEM100,237,1733
SMPD1,1510,2170
APBB1,1056,1927
NUDT13,65,120
C11orf65,18,30
TRIM44,4396,8011
CCDC182,0,0
ILK,23,38
TAF10,43,135
TPP1,4983,10034
DCHS1,1335,4246
NETO1,98,40
MSS51,35,96
CYB5A,1750,17444
USP54,1387,977
RAG1,70,126
WDR88,85,53
OR10A5,0,0
OR2D2,1,0
ATP9B,1211,1399
PPFIBP2,1932,1396
MOGAT2,47,79
CYB5R2,2040,438
SERPINB7,76,1
SERPINB8,597,431
TUB,1009,1919
RIC3,126,596
LMO1,116,7
IDH3A,685,1451
WDR72,5,57
CRABP1,407,89
PLD4,13,94
ZMAT1,244,1534
XRRA1,177,692
TRIM66,669,1033
RNF169,895,1067
RPL27A,31102,28474
TMEM130,235,15
PRTG,118,249
CENPN,571,109
AKIP1,479,583
ATMIN,3781,5451
C16orf46,1,2
TMEM41B,1264,983
PKD1L2,266,1504
LEO1,1087,945
ZNF143,1073,979
TMX3,1783,4866
MFAP4,519,33817
WEE1,2259,1225
MAPK7,1108,690
PRKCB,22,374
NDST2,6,12
CLEC3A,0,22
CCDC68,231,298
CLEC4E,40,33
ZNF3,2417,1578
CLEC4D,3,1
ZSCAN21,353,286
RIMKLB,1381,2816
A2ML1,5745,34
BEAN1,186,69
TK2,626,5090
TMED3,11332,1922
SEC11C,1986,1106
CPLX4,0,1
GALR1,0,35
TMEM135,988,4764
IQCD,33,41
NDEL1,2809,2329
CENPV,220,506
RRAD,21,142
CFAP52,8,8
HSP90B1,78978,31026
MC4R,1,0
SERPINB12,8,0
ATF7IP2,630,311
MMP10,41,1
TVP23A,9,34
TMPRSS5,78,39
COG1,1129,1864
PLEKHA7,1664,1022
ZNF606,939,564
ZCCHC18,43,41
ZNF592,2733,4811
HTR3A,136,1
NNMT,4900,6807
ACSM1,18,63
AP1G1,5276,6257
SLFN5,3594,8063
SAAL1,774,411
YPEL4,42,156
PPIB,9265,3759
LDHC,60,5
LDHAL6A,1,6
FAM111A,925,1831
KIF7,1442,352
PLIN1,97,195102
PEX11A,2002,3641
TMEM170A,712,1103
MESP1,558,608
ANPEP,12312,3495
SCNN1G,700,33
RBPMS2,718,1292
NAV2,1318,1921
ANKDD1A,159,377
GLYATL1,11,29
C18orf54,356,383
DCTN5,3304,4387
TERF2IP,1902,4565
PLK1,2975,77
CLPX,2016,2995
ZBTB39,638,769
CACNG2,1,0
TAC3,2,1
MYO1A,3,2
CHP2,0,2
OR4D6,0,0
NAB2,1634,728
VPS39,2940,6911
STAT6,5075,10550
PATL1,2351,2378
ELFN2,102,15
STX3,2737,1179
MRPL16,1333,2243
PIP4K2C,3335,1673
MTMR10,584,5253
YWHAB,32206,21020
C15orf48,363,12
SCG5,495,73
GREM1,7490,800
NYAP1,16,53
TSC22D4,3838,1796
MS4A6E,0,1
MS4A7,142,1663
DIS3L,1207,3786
CCNDBP1,1660,4573
EPB42,0,109
TGM6,0,0
SMAD3,3956,4297
MS4A8,1,1
CCDC178,3,158
MS4A15,90,1
MAP1A,1745,4708
RCCD1,465,437
AKTIP,1393,1922
MAPRE2,3744,3312
EVA1C,247,973
TCP10L2,0,0
MBD6,1583,1719
CNPY4,1119,753
PDIA3,44073,17575
NUDT21,4511,5974
NAT16,4,0
NKX3-1,482,191
SGSM1,409,196
DUSP18,150,161
TEF,976,6233
MEI1,36,83
B4GALNT2,12,0
PBX3,1063,1731
GNGT2,10,51
SNRPD1,3026,1274
TTC16,3,7
SUN5,30,0
SAMD14,190,28
PIP5KL1,49,30
BPIFB6,0,1
TMEM92,92,9
GOLGA2,6118,4942
TRUB2,1664,1347
COQ4,1311,1645
SLC27A4,2606,1043
URM1,3180,2599
CERCAM,7432,2334
CCDC103,0,0
ENDOG,58,39
TBC1D21,0,0
PRRX2,751,237
UGT1A6,0,0
C15orf39,2721,1305
ISLR2,136,277
SP2,1370,1575
PRR15L,2426,156
COQ7,648,1263
GPRC5B,5436,4365
FBXO22,1205,1178
TBC1D2B,2050,7288
SNX20,83,176
LOXHD1,32,61
KATNAL2,227,366
HDHD2,33,24
ZNF91,525,1168
IGF2,103,217
RNF214,721,1031
CDK12,7394,3025
DPEP2,15,122
DUS2,662,395
POP5,823,929
ENGASE,2171,908
RBFOX3,9,6
CD3D,10,59
TBC1D16,10502,12286
MYO5B,4534,672
ART5,76,21
ACAA2,2050,10862
STIM1,6189,5371
RRM1,3573,4183
OR51E2,42,18
MMP26,0,0
OR51B5,0,1
OR51I1,0,0
OR51Q1,0,0
FN3K,1081,1047
PRRT2,65,121
ZNF23,25,31
IRGQ,3214,1343
ZNF226,850,704
PPP2R3B,447,263
PPP2R3B,0,0
ZNF668,211,131
ZNF646,1131,1071
VKORC1,911,479
GNG8,6,0
LPO,158,1
CA4,1,2274
SMG8,835,946
TPM4,56527,22095
RAB8A,1108,641
GPX4,7222,31399
MIDN,4545,1801
JSRP1,2,11
KLHL26,481,654
GATAD2A,5243,2681
MVD,1966,637
CDT1,1107,63
TRAPPC2L,1089,1650
ANKRD11,5477,4827
SPATA33,313,182
PROCA1,99,73
RPL13,29889,34047
ZNF641,1758,2263
LALBA,1,0
CACNB3,4913,506
DHRS13,81,63
TP53I13,703,1545
KMT2D,7158,5298
CORO6,90,540
RHEBL1,125,32
TUBA1C,9066,1016
ZNF610,478,189
ZNF528,1380,595
ZNF701,520,347
NCKAP5L,2103,1183
RAB4B,87,35
AQP2,0,3
GPD1,30,115213
PROSER3,844,291
CYP2S1,290,132
AXL,3632,7939
NFKBID,459,140
TMC4,2494,468
ANKRD33,2,1
LENG8,5578,6375
CDC42EP5,254,248
LAIR2,0,4
TMEM145,38,6
ZNF526,1270,603
TRAPPC9,1889,2255
KIR3DL1,0,16
NLRP7,2,2
ZNF146,14059,3988
ZNF283,558,303
PPP1R14A,788,993
SPINT2,13554,605
C19orf33,0,0
YIF1B,5301,821
DNAAF3,57,16
PSCA,76,40
ATCAY,0,2
LY6D,364,38
DAPK3,3684,1087
EEF2,90335,152799
TMIGD2,2,2
CHAF1A,1377,581
UBXN6,5365,4707
PLIN4,88,258138
SEMA6B,929,784
ZNF444,2923,815
NXN,5042,1312
GLOD4,2001,2906
MFSD3,805,396
KIFC2,615,129
SLC43A2,2198,1822
RILP,217,753
SERPINF2,40,272
WDR81,1723,2069
SRR,162,341
TSR1,2999,1702
TRPV3,137,148
HSD11B1L,200,141
CYB5D2,566,1739
GGT6,2058,244
KLK1,47,21
KLK4,111,26
KLK2,7,27
KLK5,17022,700
KLK6,2246,91
KLK11,22,293
KLK13,133,13
KRT80,21811,173
KRT1,3,30
ACER1,6,6
OTUB1,3684,2126
RCOR2,728,63
ANGPTL4,6827,9807
CD320,2295,1771
SPRYD3,3830,3965
IGFBP6,387,6047
ZNF558,619,933
CABP2,0,0
NDUFV1,4838,5270
CDK2AP2,2196,1415
NUDT8,268,273
TBX10,3,1
PRDX2,5603,6538
OR8J3,0,0
OR5I1,0,0
ZNF232,824,320
MIS12,574,908
CD300C,37,75
CD300A,430,216
TEKT1,3,2
HID1,8241,1657
EVPL,24442,194
SRP68,10918,5630
MGAT5B,635,54
TMC8,259,326
TK1,9451,176
TMEM68,954,861
GSDMA,3,2
KRT24,0,1
GHDC,2466,1424
SOST,4,1
ZNF598,1927,705
RAB26,126,12
MLST8,1500,1232
E4F1,1079,594
DNASE1L2,11,11
CASKIN1,72,9
ABCA3,2875,3080
KCTD5,2294,744
SRRM2,25902,34822
ZNF597,39,360
NLRC3,79,242
SDHAF2,353,349
DDB1,16078,16281
VWCE,16,239
RAB3IL1,1083,1448
BEST1,53,443
FTH1,5155,2603
BSCL2,121,74
POLR2G,6333,2252
SLC3A2,12120,5864
ATG16L2,232,518
C2CD3,1358,1271
TRANK1,1303,1996
TTC21A,232,155
RPSA,23963,18420
ENTPD3,146,361
CTNNB1,25891,23406
ULK4,270,257
FADD,94,81
LTBP3,8924,8967
NAALADL1,86,282
SAC3D1,682,265
BATF2,214,197
SF1,11182,10402
MAP4K2,1714,954
CCDC88B,204,186
SCARA3,1560,2941
PBK,435,15
SCARA5,0,10293
PNOC,5,6
COPS6,5484,4368
PAFAH1B2,5532,6085
ANKS3,692,375
NUDT16L1,1509,819
KIAA1586,144,504
RAB4A,2023,2620
OR1F1,4,0
OR2B2,0,0
KCNJ4,4,0
SETD5,5480,5594
VASN,3337,1536
FAM83B,913,89
OR2C1,0,6
RNF187,12011,4947
HOOK3,2882,5138
MAPK1IP1L,4540,4052
DDIT4,8701,1156
RBPJ,4602,9344
LMBRD1,2071,3923
ZCCHC4,251,587
PTGDR,7,145
TTC39C,908,2005
